[PERF] units H:26 E:32 | tick avg 0.66ms max 6.44ms (n=300) | move 79.4ms | target 0.1ms (61 calls) | path 31.7ms max 3.27ms (10 calls) | fog 54.8ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:28 E:32 | tick avg 0.72ms max 9.01ms (n=300) | move 66.4ms | target 0.1ms (63 calls) | path 28.4ms max 3.21ms (9 calls) | fog 54.6ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:29 E:32 | tick avg 0.73ms max 6.02ms (n=300) | move 71.4ms | target 0.1ms (49 calls) | path 31.5ms max 3.19ms (10 calls) | fog 48.8ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:29 E:32 | tick avg 0.71ms max 6.06ms (n=301) | move 66.3ms | target 0.1ms (60 calls) | path 28.5ms max 3.21ms (9 calls) | fog 54.6ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:31 E:36 | tick avg 0.96ms max 18.91ms (n=300) | move 135.7ms | target 0.1ms (73 calls) | path 95.2ms max 4.34ms (28 calls) | fog 54.6ms | minimap 0.3ms | ai 1.5ms | window 5.0s
[PERF] units H:31 E:36 | tick avg 0.74ms max 7.58ms (n=300) | move 71.2ms | target 0.1ms (45 calls) | path 32.6ms max 3.98ms (10 calls) | fog 55.1ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:36 | tick avg 0.64ms max 6.37ms (n=301) | move 42.8ms | target 0.1ms (66 calls) | path 0.7ms max 0.35ms (2 calls) | fog 49.4ms | minimap 0.2ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:36 | tick avg 0.65ms max 6.18ms (n=300) | move 42.0ms | target 0.1ms (56 calls) | path 0.7ms max 0.35ms (2 calls) | fog 54.8ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:36 | tick avg 0.64ms max 6.27ms (n=301) | move 40.1ms | target 0.1ms (49 calls) | path 0.4ms max 0.36ms (1 calls) | fog 55.3ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:36 | tick avg 0.60ms max 6.25ms (n=300) | move 36.3ms | target 0.1ms (67 calls) | path 0.7ms max 0.35ms (2 calls) | fog 54.5ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:32 E:37 | tick avg 0.60ms max 6.18ms (n=300) | move 36.9ms | target 0.1ms (58 calls) | path 0.7ms max 0.37ms (2 calls) | fog 49.5ms | minimap 0.2ms | ai 0.7ms | window 5.0s
[PERF] units H:32 E:37 | tick avg 0.65ms max 6.49ms (n=300) | move 40.9ms | target 0.1ms (51 calls) | path 0.0ms max 0.00ms (0 calls) | fog 55.6ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:32 E:37 | tick avg 0.65ms max 6.44ms (n=300) | move 42.0ms | target 0.1ms (67 calls) | path 1.1ms max 0.36ms (3 calls) | fog 55.4ms | minimap 0.2ms | ai 0.1ms | window 5.0s
